,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_dpr,product_interest_min,Score,Zscore,Give_credit
96,1400,12,5,0,1,13300,2,4500,0.0,250,11.228810698150202,-0.08263138318622149,0.0
97,1000,15,5,0,0,10000,1,4000,1.8,50,16.56063200630271,-0.08206347789960916,0.0
98,2400,10,5,1,1,20000,1,13000,1.8,50,16.607876012522393,-0.08205844582532493,0.0
99,1000,22,3,0,0,8900,1,4000,1.43,50,15.213668266646653,-0.08220694629144296,0.0
100,2000,30,3,0,0,7000,2,3000,1.8,50,116.68424299380418,-0.07139906799007653,1.0
101,3500,30,2,0,0,4000,2,3500,1.9,50,119.22126943673832,-0.07112884311832125,1.0
102,1500,18,5,0,0,8000,2,6000,1.8,50,17.15990857770117,-0.08199964749094192,0.0
103,3000,12,3,0,1,13000,999,5000,1.8,50,16.733747273039757,-0.08204503897049072,0.0
104,3500,30,5,0,0,20000,2,10000,1.8,50,117.27603715530958,-0.07133603455112926,1.0
105,2000,15,3,0,0,12000,2,6000,1.9,50,18.87407249674822,-0.08181706771276022,0.0
106,4000,16,5,0,0,15500,2,4000,1.8,50,17.55154079715757,-0.08195793378844086,0.0
107,1500,30,4,1,0,10000,999,3500,1.9,50,118.6742815772226,-0.07118710412880501,1.0
108,1100,20,4,0,0,17000,2,5000,1.8,50,17.543404501609547,-0.08195880040511613,0.0
109,3750,30,2,0,0,8000,1,5000,1.8,50,117.2715150583817,-0.071336516210698,1.0
110,500,6,2,0,0,6000,2,2500,1.8,50,15.865571228411454,-0.08213751051763366,0.0
111,1700,4,3,0,0,9000,1,6500,1.8,50,16.18282552251292,-0.08210371898929696,0.0
112,3500,30,5,0,0,12000,2,7000,1.8,50,117.20811273978904,-0.07134326934622735,1.0
113,1000,30,2,0,0,7500,2,2500,1.8,50,116.48461689110185,-0.07142033065296757,1.0
114,1000,19,3,0,0,15000,2,12000,1.43,50,14.42380008020433,-0.08229107707769447,0.0
115,1500,20,5,0,0,5000,1,3000,1.9,50,19.659760111958363,-0.08173338220934295,0.0
116,4000,30,3,0,0,12500,2,2500,1.9,50,119.42500821308373,-0.07110714240453372,1.0
117,2500,30,5,0,0,15000,1,5000,1.9,50,118.92701421624054,-0.07116018495925626,1.0
118,2500,30,4,0,0,22000,2,5000,1.8,50,116.84372901828192,-0.07138208074477947,1.0
119,1400,12,3,0,0,9500,2,6500,0.0,250,11.269224903236285,-0.08262707857070718,0.0
120,1000,15,5,0,0,22000,1,4000,1.8,50,16.56063200630271,-0.08206347789960916,0.0
121,500,5,5,0,0,8700,1,2500,1.8,50,15.8677300505953,-0.0821372805762196,0.0
122,4000,14,5,0,1,15000,2,10000,1.43,50,14.42753012854309,-0.08229067978115198,0.0
123,1500,30,3,0,0,25000,999,12000,1.43,50,113.77602897887256,-0.07170882895508758,1.0
124,1500,10,4,1,1,15000,999,6000,0.0,220,11.137352794546263,-0.08264112459051044,0.0
125,2500,30,3,1,0,12500,2,3000,1.8,50,116.8054515337929,-0.07138615777297362,1.0
126,1000,30,5,0,0,8300,1,3200,1.8,50,116.49747665198294,-0.07141896092848378,1.0
127,2300,18,3,0,0,6000,2,4000,1.8,50,17.29296150670106,-0.08198547569908858,0.0
128,3500,30,5,0,0,8000,2,4000,1.8,50,117.1474659012301,-0.0713497289888604,1.0
129,1500,6,3,0,0,2400,1,1500,1.33,50,12.635703408736589,-0.08248153161358594,0.0
130,3500,30,3,0,0,7000,999,5000,1.53,50,114.64844596307724,-0.07161590569513085,1.0
131,5000,30,5,0,1,40000,2,20000,1.8,50,118.46484352037126,-0.07120941188685417,1.0
132,2000,21,3,0,0,4000,1,4000,1.8,50,18.013851806639583,-0.08190869191569798,0.0
133,5000,5,5,0,0,30000,2,20000,1.8,50,17.92414655733472,-0.08191824664050452,0.0
134,3000,17,3,0,0,5500,2,2000,1.8,50,17.27017773415689,-0.08198790245424954,0.0
135,3500,30,5,0,0,13000,1,5000,1.8,50,117.16694640489811,-0.07134765407292089,1.0
136,2000,14,5,1,0,10000,2,5600,0.0,450,11.559616723332786,-0.08259614822996797,0.0
137,1000,14,5,0,0,16000,2,4000,1.9,50,18.52815815281977,-0.08185391189287775,0.0
138,3500,15,4,0,0,15000,999,4000,1.9,50,19.27881591988958,-0.08177395750398933,0.0
139,4500,17,3,1,0,15000,2,6000,1.8,50,18.03247183031984,-0.08190670865157981,0.0
140,3500,24,2,0,0,10000,1,4000,1.8,50,20.016540955675946,-0.08169538061184016,0.0
141,1000,30,3,0,0,14000,999,8000,1.8,50,116.59498467518492,-0.07140857511120613,1.0
142,3500,30,5,0,0,8000,2,7000,1.8,50,117.20811273978904,-0.07134326934622735,1.0
143,600,28,2,0,0,8000,1,3500,1.53,50,25.23056091173785,-0.08114002263444091,0.0
144,400,30,3,0,0,6500,2,1000,1.8,50,116.3678628884071,-0.07143276640644305,1.0
145,5000,30,5,0,0,9000,999,8500,1.8,50,118.12989317785525,-0.07124508826445082,1.0
146,4250,24,5,0,0,12000,2,2000,1.8,50,20.335125238348713,-0.08166144742317819,0.0
147,1000,30,4,0,0,13000,2,3000,1.8,50,116.49377020478083,-0.07141935571121166,1.0
148,900,8,2,0,0,5000,2,1000,0.0,120,10.84134725178821,-0.08267265286253671,0.0
149,3000,24,5,0,0,15000,2,4500,1.9,50,21.931710062881443,-0.08149139128101326,0.0
150,1500,30,5,1,0,12300,2,7000,1.8,50,116.66112488027332,-0.07140153035671111,1.0
151,2000,14,4,0,0,15000,2,8000,1.8,50,16.71776323346758,-0.08204674146951493,0.0
152,1000,30,3,0,0,15000,999,5000,1.9,50,118.61533288722846,-0.0711933828974943,1.0
153,1300,30,3,0,0,9700,2,1000,1.8,50,116.50925985216006,-0.07141770587110526,1.0
154,4000,30,5,0,0,5000,2,2000,1.8,50,117.33272751638293,-0.07132999632255915,1.0
155,500,30,3,1,1,2500,2,1000,1.8,50,116.38189791332069,-0.07143127150172185,1.0
156,2500,30,5,0,0,14000,2,3000,1.33,50,113.42932020959911,-0.0717457577513854,1.0
157,1000,29,4,0,0,15000,2,5000,1.8,50,38.07215175642752,-0.0797722334855321,0.0
158,3000,30,5,0,0,18200,2,10000,1.9,50,119.18155376022328,-0.07113307333185444,1.0
159,1000,30,4,1,0,4000,1,1000,1.8,50,116.4580877907907,-0.07142315633212015,1.0
160,4000,30,5,0,1,20000,1,10000,1.8,50,117.49824456370457,-0.07131236669831525,1.0
161,1500,26,5,0,0,15000,1,7500,1.9,50,23.878807133622487,-0.08128400122494922,0.0
162,5000,14,5,0,0,16000,2,2500,1.53,50,15.422128349229556,-0.08218474269981743,0.0
163,3500,30,3,1,0,5500,1,5000,1.8,50,117.16694640489811,-0.07134765407292089,1.0
164,5000,10,5,1,0,9000,2,5000,1.8,50,17.6601876674463,-0.0819463615454033,0.0
165,1500,30,5,0,0,12000,1,5000,1.43,50,113.61693834096158,-0.07172577408679745,1.0
166,1000,30,5,0,1,13000,2,7000,1.33,50,113.19708269996698,-0.07177049393473578,1.0
167,1000,30,2,0,0,6000,2,3000,1.9,50,118.57705540273945,-0.07119745992568845,1.0
168,2000,18,4,0,1,12000,2,3500,1.9,50,19.29659154265662,-0.0817720641790711,0.0
169,2500,10,5,0,0,11000,1,11000,1.53,50,14.063242918299466,-0.08232948090005414,0.0
170,2600,30,3,0,0,9500,1,3500,1.8,50,116.84170193364027,-0.07138229665450672,1.0
171,1500,30,2,0,0,15000,1,7000,1.53,50,114.14262443845244,-0.07166978197892107,1.0
172,800,16,3,0,0,5000,2,3500,1.8,50,16.65320728131218,-0.08205361748136764,0.0
173,700,29,5,1,0,11000,2,8000,1.9,50,40.17140762894509,-0.0795486366245248,0.0
174,2500,30,5,1,1,12000,1,6000,1.8,50,116.86393101807747,-0.07137992898052839,1.0
175,1000,30,5,1,0,9000,2,5000,1.9,50,118.61533288722846,-0.0711933828974943,1.0
176,800,25,3,0,0,7150,1,3000,1.8,50,20.245150701000316,-0.08167103083051079,0.0
177,3500,30,5,0,0,40000,2,15000,1.53,50,114.89086969126565,-0.0715900845528079,1.0
178,1000,15,2,0,1,7500,2,2000,1.43,50,13.520666008639736,-0.08238727208951474,0.0
179,500,30,2,0,0,7000,1,4000,1.8,50,116.43637730813182,-0.07142546876855872,1.0
180,2050,17,5,0,0,15000,2,10000,1.53,50,14.661741203070914,-0.082265733388593,0.0
181,3000,15,5,0,0,10500,1,3500,1.9,50,19.091565664394274,-0.0817939019852218,0.0
182,3500,14,5,0,0,25000,1,8000,1.8,50,17.162189160072504,-0.08199940458055344,0.0
183,2000,21,2,1,0,7000,2,3000,1.53,50,15.476554383997698,-0.08217894565016258,0.0
184,1000,30,2,0,0,3100,2,1480,1.8,50,116.46642913546117,-0.07142226787516294,1.0
185,500,3,5,0,0,4200,2,3000,1.53,50,13.488495205063316,-0.0823906986802367,0.0
186,4000,10,5,0,0,20000,999,15000,1.8,50,17.23601138896872,-0.08199154159497372,0.0
187,1000,30,2,0,0,10000,2,6000,1.8,50,116.55224968906539,-0.07141312691876643,1.0
188,1000,30,3,0,0,7500,1,2000,1.8,50,116.47562139235967,-0.07142128878546979,1.0
189,3600,4,5,0,0,7600,2,2000,1.53,50,14.125630756453855,-0.08232283581930959,0.0
190,2500,30,4,0,0,5500,1,2000,1.8,50,116.78730272137174,-0.07138809084723176,1.0
191,1000,7,3,0,0,8000,999,5000,1.33,50,12.630638487820207,-0.08248207109066112,0.0
192,1000,30,2,0,0,8700,1,1000,1.9,50,118.54137298874932,-0.07120126054659694,1.0
193,5000,30,4,0,0,10000,2,2000,1.8,50,117.99932752304893,-0.07125899513066578,1.0
194,2000,14,5,0,0,19000,1,5000,1.8,50,16.654826247552514,-0.0820534450413263,0.0
195,900,5,3,0,0,6500,1,4500,1.8,50,15.96542630814265,-0.08212687470964292,0.0
196,3500,25,5,0,0,10000,1,3000,1.43,50,17.90877494157951,-0.0819198839087749,0.0
197,5000,30,3,0,0,8000,2,3800,1.8,50,118.03246040587642,-0.07125546606653721,1.0
198,1500,20,5,0,0,1200,1,5000,1.8,50,17.614752398488772,-0.08195120096667201,0.0
199,800,20,5,0,0,14700,1,12000,1.8,50,17.654186450915457,-0.08194700074960708,0.0
200,1500,21,5,0,0,8000,2,3000,1.9,50,19.975778090866392,-0.08169972236395166,0.0
201,1000,5,3,0,0,12000,2,5000,1.43,50,12.988330521812507,-0.08244397244006067,0.0
202,1400,30,3,1,1,6500,2,2500,1.8,50,116.55388003829073,-0.07141295326629563,1.0
203,2900,10,3,0,0,7000,2,7000,1.53,50,14.084906378194013,-0.08232717347212484,0.0
204,1000,30,2,0,0,4000,1,4000,1.43,50,113.50954698118103,-0.07173721260234983,1.0
205,1500,20,5,0,0,7000,2,5000,1.9,50,19.698037596447378,-0.08172930518114879,0.0
206,1500,6,5,0,0,25000,1,10000,1.53,50,13.667693068752609,-0.08237161187888738,0.0
207,700,5,4,1,0,35000,1,9000,1.8,50,16.029945797814932,-0.0821200025814982,0.0
208,1000,30,3,0,0,8000,2,2000,1.9,50,118.55890659031829,-0.07119939299994657,1.0
209,3900,30,5,0,0,10000,2,5000,1.8,50,117.34037689453106,-0.07132918156864329,1.0
210,2400,10,5,1,0,10000,2,3000,1.8,50,16.383912215467753,-0.08208230075537719,0.0
211,2500,30,4,1,0,12000,2,5000,1.9,50,118.92701421624054,-0.07116018495925626,1.0
212,2000,21,5,1,1,10000,2,2000,1.8,50,17.97690601339742,-0.08191262710221074,0.0
213,3000,14,2,0,0,10000,2,2000,1.8,50,16.865057284202344,-0.0820310528210655,0.0
214,1700,11,5,0,0,15000,1,12000,0.0,270,11.379965025263163,-0.0826152833703236,0.0
215,600,30,4,0,0,6000,2,4000,1.8,50,116.45079164266565,-0.0714239334626451,1.0
216,3000,3,5,0,0,6000,2,2000,1.53,50,14.003666392695521,-0.0823358265410449,0.0
217,2750,30,3,0,0,7000,999,3000,1.33,50,113.49858173774936,-0.07173838053716122,1.0
218,1000,21,4,0,1,11000,2,7000,1.8,50,17.88402585617518,-0.08192251999420005,0.0
219,1500,30,1,0,0,7500,2,6509,1.8,50,116.65073344337114,-0.07140263717399008,1.0
220,3550,30,4,0,0,8000,2,2500,1.53,50,114.62098901601597,-0.0716188302015029,1.0
221,1500,30,3,0,0,8600,2,2000,1.9,50,118.64681744643083,-0.0711900294003337,1.0
222,3500,30,5,0,1,9000,999,3500,1.8,50,117.13798423877971,-0.07135073890384447,1.0
223,2250,7,5,0,0,12800,1,12800,1.8,50,16.435489063618874,-0.08207680717953528,0.0
224,4000,17,6,0,0,20000,2,7000,1.8,50,17.7677463673979,-0.08193490520604131,0.0
225,3000,30,5,0,0,10400,1,5000,1.8,50,116.9891778118532,-0.0713665886391693,1.0
226,600,16,3,1,0,9800,2,2000,1.43,50,13.59269313253515,-0.08237960030494515,0.0
227,1800,30,4,0,0,6000,2,2000,1.53,50,114.10458399277569,-0.07167383375953343,1.0
228,1000,30,4,0,0,10000,2,3000,1.8,50,116.49377020478083,-0.07141935571121166,1.0
229,3000,25,2,0,0,9500,1,3800,1.8,50,20.749010623361723,-0.08161736348176006,0.0
230,3500,30,3,0,1,11000,1,6500,1.9,50,119.2808178065666,-0.07112250047627079,1.0
231,1000,16,2,0,0,7900,2,3700,1.53,50,14.1702250243684,-0.08231808597511234,0.0
232,5700,30,6,0,0,9000,1,2500,1.8,50,118.81979109320189,-0.0711716055555031,1.0
233,3200,20,3,0,0,3000,2,1800,1.53,50,15.472153503960016,-0.08217941439862482,0.0
234,3050,30,4,0,0,5000,2,1200,1.8,50,116.93483780257489,-0.07137237652603949,1.0
236,2400,30,4,0,0,14000,2,4000,1.8,50,116.79827534880157,-0.07138692212593273,1.0
237,1500,11,3,0,0,6000,1,3000,1.8,50,16.250767195422334,-0.0820964823560723,0.0
238,500,3,3,1,0,10000,2,1500,1.8,50,15.980005104141574,-0.08212532188653769,0.0
239,800,30,5,0,0,3000,2,1500,1.8,50,116.43503393266647,-0.07142561185475471,1.0
240,600,30,4,0,0,8000,2,2500,1.9,50,118.50612654612428,-0.07120501473113243,1.0
241,1400,12,5,0,0,5000,2,100,0.0,250,11.149399099009504,-0.08263984150925295,0.0
242,3000,20,5,0,0,50000,1,2000,1.43,50,14.924525163628584,-0.08223774362828176,0.0
244,1500,7,5,0,0,13000,2,6000,1.8,50,16.11488266792209,-0.08211095574838538,0.0
245,500,17,3,0,0,10000,1,8000,1.9,50,18.939506214887373,-0.08181009820791257,0.0
246,500,30,3,0,0,8000,2,2000,1.33,50,113.02330019069586,-0.07178900393348327,1.0
247,1950,30,5,0,0,13000,1,7000,1.53,50,114.2341673585457,-0.07166003151931857,1.0
248,2500,30,5,0,0,16000,2,8000,1.8,50,116.90666600419699,-0.0713753771729681,1.0
249,7500,25,2,0,0,8500,999,3500,1.8,50,35.13492290974374,-0.08008508489101177,0.0
250,800,30,4,0,0,9000,2,2500,1.8,50,116.45287116173012,-0.07142371196799964,1.0
251,1000,30,2,0,0,10000,1,4000,1.9,50,118.59585238356046,-0.07119545781343381,1.0
252,3000,21,3,0,1,13000,999,5000,1.8,50,18.2999896438676,-0.08187821467704537,0.0
253,2500,30,3,0,0,10000,2,7000,1.8,50,116.88489535317285,-0.07137769601808594,1.0
254,3500,30,3,0,0,6000,2,500,1.9,50,119.16772591426324,-0.0711345461694402,1.0
255,900,8,4,0,0,8000,2,4000,0.0,120,10.89582664659934,-0.08266685012937358,0.0
256,500,15,3,0,0,7700,2,5500,1.9,50,18.597216161143365,-0.08184655635604647,0.0
257,1000,26,3,1,0,8000,2,2000,1.9,50,23.68252198937116,-0.08130490803421031,0.0
258,4000,30,6,0,0,32000,1,15000,1.8,50,117.63157754148152,-0.07129816507778391,1.0
259,1000,12,2,0,0,9100,2,5600,1.9,50,18.371934422314176,-0.0818705516632903,0.0
260,1000,30,5,1,0,12000,1,5000,1.43,50,113.52902748484904,-0.07173513768641032,1.0
261,1000,7,6,1,0,17800,2,7900,0.0,120,10.960250527273796,-0.08265998818477631,0.0
262,1000,30,2,0,0,6000,1,6000,1.8,50,116.55224968906539,-0.07141312691876643,1.0
263,1000,7,5,1,0,9000,1,3000,1.9,50,18.05177752548358,-0.08190465235492028,0.0
264,1000,5,4,0,0,12000,2,8500,1.9,50,18.148775282088074,-0.08189432088738197,0.0
265,1000,30,4,1,0,15000,1,7000,1.8,50,116.57321402416078,-0.07141089395632398,1.0
266,800,30,5,0,0,4200,1,1500,1.8,50,116.43503393266647,-0.07142561185475471,1.0
267,550,30,2,1,0,15000,2,4000,1.8,50,116.44353610709634,-0.07142470626742772,1.0
268,1000,16,6,1,0,17800,2,7900,1.8,50,16.774637490181004,-0.08204068365377187,0.0
269,1000,7,5,1,0,12000,2,5000,0.0,120,10.899528213895117,-0.08266645586641642,0.0
270,1500,30,4,0,0,6000,2,2000,1.9,50,118.64681744643083,-0.0711900294003337,1.0
271,1500,15,4,0,1,9000,999,4000,1.9,50,18.731828060373864,-0.08183221851447307,0.0
272,1000,16,4,0,0,8000,2,3000,1.9,50,18.75892289027191,-0.08182933257808292,0.0
273,2500,17,5,1,1,16000,2,7000,1.8,50,17.22232157238672,-0.0819929997307139,0.0
274,5000,30,5,0,0,15000,2,8000,1.8,50,118.11869080587418,-0.07124628145640212,1.0
275,1500,30,5,0,0,6500,999,4000,1.8,50,116.60047804171438,-0.07140798999934415,1.0
276,1000,30,5,0,0,30000,2,5000,1.9,50,118.61533288722846,-0.0711933828974943,1.0
277,500,30,5,1,1,10000,1,4000,1.9,50,118.51966250609044,-0.0712035729830355,1.0
278,800,10,3,0,0,12000,1,5000,1.9,50,18.188021005343913,-0.08189014072971618,0.0
279,3500,26,4,0,1,12000,2,3500,1.8,50,22.261599637832582,-0.08145625393810821,0.0
280,1000,15,5,0,0,8000,1,5000,1.9,50,18.663397707929335,-0.08183950719814644,0.0
281,1000,30,3,0,0,8000,2,4000,1.8,50,116.51256718560184,-0.07141735359895703,1.0
282,1500,30,5,0,1,20000,2,5000,1.8,50,116.61995854538239,-0.07140591508340464,1.0
283,1000,27,3,0,0,7500,2,4000,1.8,50,23.790590815721867,-0.08129339736004185,0.0
284,5000,18,5,0,0,160000,2,7600,1.8,50,18.62963086565316,-0.08184310378684145,0.0
285,650,26,4,0,0,12000,2,3500,1.9,50,23.655564823536686,-0.08130777930766542,0.0
286,3500,30,5,0,0,17000,2,10000,1.8,50,117.27603715530958,-0.07133603455112926,1.0
287,800,3,3,0,0,12000,1,12000,1.9,50,18.332093115341074,-0.08187479525802986,0.0
288,1000,30,4,0,0,8000,1,4500,1.8,50,116.52221968789364,-0.07141632548740494,1.0
289,2500,21,4,0,0,12000,2,3000,1.9,50,20.199548563765923,-0.08167588802532649,0.0
290,700,4,2,0,0,7000,2,4000,0.0,30,10.851568743987789,-0.08267156414648234,0.0
291,2500,25,3,0,0,6000,2,3500,1.8,50,20.59789307775475,-0.08163345937997009,0.0
292,500,7,3,0,0,5300,2,2000,1.8,50,15.8741536376338,-0.08213659638430332,0.0
293,700,25,5,0,0,11500,1,4000,1.8,50,20.24872709983695,-0.08167064989955136,0.0
294,3500,30,5,0,0,17500,2,4000,1.8,50,117.1474659012301,-0.0713497289888604,1.0
295,3500,30,4,0,0,9500,1,2000,1.9,50,119.19380530594655,-0.07113176838984996,1.0
296,1500,30,3,0,0,12000,2,3000,1.9,50,118.66496625885199,-0.07118809632607558,1.0
297,1500,11,2,0,0,10200,999,2300,1.8,50,16.237996974200787,-0.08209784254346864,0.0
298,1550,8,3,0,0,6000,999,2000,1.8,50,16.079670402504764,-0.08211470629262314,0.0
299,2000,10,1,0,0,9000,2,2500,1.8,50,16.279523527612387,-0.08209341944902225,0.0
300,1350,14,5,0,0,16000,2,6800,1.8,50,16.56141347187104,-0.08206339466380626,0.0
301,1000,5,5,0,0,7500,2,3500,0.0,85,10.855146961996036,-0.08267118302175852,0.0
302,1000,21,5,0,0,14000,2,7000,1.43,50,14.881005651754371,-0.08224237899759287,0.0
303,1800,29,3,0,0,10000,2,5000,1.8,50,38.219614798664416,-0.07975652683738577,0.0
304,3700,30,5,0,0,40000,1,15000,1.53,50,114.97355195025246,-0.07158127786382229,1.0
305,500,30,4,1,0,15000,1,2000,1.43,50,113.39641131046885,-0.0717492629584643,1.0
306,900,8,5,0,0,6000,2,1000,0.0,120,10.84134725178821,-0.08267265286253671,0.0
307,5000,22,5,0,0,10000,1,12000,1.8,50,19.918965743335708,-0.08170577358559673,0.0
308,1000,15,3,0,0,7700,2,5500,1.8,50,16.59012084065477,-0.08206033697196799,0.0
309,2500,28,5,0,0,10000,1,4000,1.8,50,28.131999887957388,-0.08083098329532078,0.0
310,1000,30,4,0,0,9000,2,7000,1.9,50,118.6564992221194,-0.07118899817080077,1.0
311,1000,28,5,1,0,9000,2,4000,1.8,50,27.820318558945313,-0.0808641812335588,0.0
312,500,30,3,0,0,9600,1,3000,1.8,50,116.41758032731082,-0.07142747088081336,1.0
313,2400,5,3,1,0,6000,2,1000,1.8,50,16.203098990953904,-0.0821015596127462,0.0
314,900,20,3,0,0,10000,1,4000,1.8,50,17.491264621993757,-0.08196435395081202,0.0
315,1550,30,5,0,0,14000,2,4000,1.53,50,114.09151827809522,-0.0716752254206585,1.0
316,1000,5,3,0,0,7500,2,4500,1.8,50,15.98152272485711,-0.0821251602410553,0.0
